tempo_min,vazao_oleo_bopd,pressao_psi,viscosidade_cp,volume_oleo_bbl,temperatura_C,GOR,WOR
20.75,10797.10,2849.98,2.80,54999841.40,92.00,420.00,0.15
20.8333,10808.10,2849.98,2.80,54999840.77,92.00,420.00,0.15
20.9167,10874.14,2849.98,2.80,54999840.13,92.00,420.00,0.15
21,10819.11,2849.98,2.80,54999839.49,92.00,420.00,0.15
21.0833,10951.18,2849.98,2.80,54999838.86,92.00,420.00,0.15
21.1667,11204.33,2849.98,2.80,54999838.22,92.00,420.00,0.15
21.25,10940.18,2849.98,2.80,54999837.58,92.00,420.00,0.15
21.3333,11171.31,2849.98,2.80,54999836.94,92.00,420.00,0.15
21.4167,10786.09,2849.98,2.80,54999836.31,92.00,420.00,0.15
21.5,11006.21,2849.98,2.80,54999835.67,92.00,420.00,0.15
21.5833,11215.33,2849.98,2.80,54999835.03,92.00,420.00,0.15
21.6667,11215.33,2849.98,2.80,54999834.40,92.00,420.00,0.15
21.75,10885.15,2849.98,2.80,54999833.76,92.00,420.00,0.15
21.8333,11006.21,2849.98,2.80,54999833.12,92.00,420.00,0.15
21.9167,11017.22,2849.98,2.80,54999832.49,92.00,420.00,0.15
22,11138.29,2849.98,2.80,54999831.85,92.00,420.00,0.15
22.0833,10830.11,2849.98,2.80,54999831.21,92.00,420.00,0.15
22.1667,11039.23,2849.98,2.80,54999830.58,92.00,420.00,0.15
22.25,10863.13,2849.98,2.80,54999829.94,92.00,420.00,0.15
22.3333,10973.19,2849.98,2.80,54999829.30,92.00,420.00,0.15
22.4167,10786.09,2849.98,2.80,54999828.66,92.00,420.00,0.15
22.5,10874.14,2849.98,2.80,54999828.03,92.00,420.00,0.15
22.5833,11105.27,2849.98,2.80,54999827.39,92.00,420.00,0.15
22.6667,10995.20,2849.98,2.80,54999826.75,92.00,420.00,0.15
22.75,10918.16,2849.98,2.80,54999826.12,92.00,420.00,0.15
22.8333,11138.28,2849.98,2.80,54999825.48,92.00,420.00,0.15
22.9167,11182.31,2849.98,2.80,54999824.84,92.00,420.00,0.15
23,11072.25,2849.98,2.80,54999824.21,92.00,420.00,0.15
23.0833,10797.09,2849.98,2.80,54999823.57,92.00,420.00,0.15
23.1667,10962.18,2849.98,2.80,54999822.93,92.00,420.00,0.15
23.25,11182.31,2849.98,2.80,54999822.30,92.00,420.00,0.15
23.3333,10830.11,2849.98,2.80,54999821.66,92.00,420.00,0.15
23.4167,10984.20,2849.98,2.80,54999821.02,92.00,420.00,0.15
23.5,10841.12,2849.98,2.80,54999820.38,92.00,420.00,0.15
23.5833,10885.14,2849.98,2.80,54999819.75,92.00,420.00,0.15
23.6667,11182.31,2849.98,2.80,54999819.11,92.00,420.00,0.15
23.75,10819.10,2849.98,2.80,54999818.47,92.00,420.00,0.15
23.8333,11050.23,2849.98,2.80,54999817.84,92.00,420.00,0.15
23.9167,11138.28,2849.98,2.80,54999817.20,92.00,420.00,0.15
24,10841.11,2849.98,2.80,54999816.56,92.00,420.00,0.15
24.0833,10841.11,2849.98,2.80,54999815.93,92.00,420.00,0.15
24.1667,11116.27,2849.98,2.80,54999815.29,92.00,420.00,0.15
24.25,10819.10,2849.98,2.80,54999814.65,92.00,420.00,0.15
24.3333,10962.18,2849.98,2.80,54999814.01,92.00,420.00,0.15
